Date,Prev Close,Open,High,Low,Close,Change,Deals,Volume,Value
06/12/2017,1330.11,1330.11,1330.11,1330.11,1330.11,,28.00,18125.00,24539060.82
07/12/2017,1330.11,1396.61,1410.08,1400.00,1410.08,79.97,55.00,114612.00,160904128.81
08/12/2017,1410.08,1410.08,1410.08,1410.08,1410.08,,45.00,35002.00,50254832.14
11/12/2017,1410.08,1413.00,1460.00,1413.00,1460.00,49.92,58.00,317373.00,457968816.67
12/12/2017,1460.00,1460.00,1460.10,1460.00,1460.10,0.10,48.00,76342.00,111601216.53
13/12/2017,1460.10,1461.16,1462.50,1461.16,1462.50,2.40,101.00,219221.00,320922761.37
14/12/2017,1462.50,1462.50,1464.05,1462.50,1464.05,1.55,66.00,120690.00,176334322.35
15/12/2017,1464.05,1464.05,1464.05,1464.05,1464.05,,50.00,60421.00,88350655.07
18/12/2017,1464.05,1464.05,1464.05,1464.05,1464.05,,71.00,85388.00,126028999.02
19/12/2017,1464.05,1464.05,1464.05,1464.05,1464.05,,40.00,35988.00,52680878.78
20/12/2017,1464.05,1440.27,1495.00,1440.27,1495.00,30.95,103.00,231679.00,343650127.10
21/12/2017,1495.00,1465.21,1465.21,1465.21,1465.21,-29.79,27.00,44747.00,66089181.69
22/12/2017,1465.21,1475.00,1475.00,1475.00,1475.00,9.79,42.00,141371.00,208538099.43
27/12/2017,1475.00,1475.00,1475.00,1475.00,1475.00,,28.00,35615.00,53326268.93
28/12/2017,1475.00,1485.00,1485.00,1485.00,1485.00,10.00,34.00,224751.00,333783368.58
29/12/2017,1485.00,1480.15,1555.99,1480.15,1555.99,70.99,46.00,121517.00,181366065.05
02/01/2018,1555.99,1555.99,1555.99,1555.99,1555.99,,30.00,15666.00,23237336.20
03/01/2018,1555.99,1555.99,1555.99,1555.99,1555.99,,54.00,29550.00,44248315.09
04/01/2018,1555.99,1500.00,1500.00,1500.00,1500.00,-55.99,59.00,248534.00,372990721.62
05/01/2018,1500.00,1500.00,1500.01,1500.00,1500.00,,33.00,1083227.00,1624851252.05
08/01/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,37.00,421765.00,632574501.74
09/01/2018,1500.00,1425.11,1499.99,1425.11,1450.00,-50.00,48.00,460593.00,659655272.33
10/01/2018,1450.00,1499.80,1450.46,1450.46,1450.46,0.46,64.00,84387.00,122671771.30
11/01/2018,1450.46,1455.00,1455.00,1455.00,1450.46,,25.00,25186.00,37078858.33
12/01/2018,1450.46,1490.00,1490.00,1490.00,1490.00,39.54,33.00,342580.00,510236858.54
15/01/2018,1490.00,1490.00,1490.00,1490.00,1490.00,,34.00,24010.00,34877930.57
16/01/2018,1490.00,1480.00,1480.00,1480.00,1480.00,-10.00,36.00,51894.00,76577950.09
17/01/2018,1480.00,1480.00,1480.06,1480.00,1480.00,,53.00,206032.00,304656773.59
18/01/2018,1480.00,1500.00,1500.03,1500.00,1500.00,20.00,76.00,315989.00,473659971.64
19/01/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,40.00,354549.00,531349117.37
22/01/2018,1500.00,1470.00,1470.00,1470.00,1470.00,-30.00,64.00,134285.00,200743691.73
23/01/2018,1470.00,1470.06,1471.11,1470.06,1471.11,1.11,61.00,97173.00,143250467.35
24/01/2018,1471.11,1475.00,1475.00,1475.00,1475.00,3.89,33.00,31520.00,46511070.15
25/01/2018,1475.00,1499.99,1500.00,1499.00,1500.00,25.00,61.00,142197.00,212519118.98
26/01/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,25.00,13928.00,20477854.25
29/01/2018,1500.00,1500.00,1500.00,1500.00,1500.00,,38.00,11261.00,16452054.30
30/01/2018,1500.00,1470.00,1470.00,1470.00,1470.00,-30.00,59.00,113411.00,166107442.20
31/01/2018,1470.00,1470.00,1470.00,1470.00,1470.00,,60.00,20561.00,29521564.90
01/02/2018,1470.00,1470.00,1470.00,1470.00,1470.00,,41.00,12476.00,17678851.80
02/02/2018,1470.00,1450.00,1450.00,1445.00,1445.00,-25.00,60.00,101786.00,147379295.70
05/02/2018,1445.00,1445.00,1445.00,1445.00,1445.00,,21.00,12001.00,17347489.00
06/02/2018,1445.00,1445.00,1445.00,1445.00,1445.00,,44.00,12337.00,17004152.90
07/02/2018,1445.00,1445.00,1445.00,1445.00,1445.00,,41.00,26542.00,36470309.60
08/02/2018,1445.00,1372.80,1372.80,1372.80,1372.80,-72.20,17.00,20767.00,28508937.60
09/02/2018,1372.80,1360.00,1360.00,1360.00,1360.00,-12.80,80.00,492045.00,667102103.60
12/02/2018,1360.00,1360.00,1360.00,1360.00,1360.00,,53.00,59035.00,79597810.20
13/02/2018,1360.00,1315.40,1320.00,1315.40,1320.00,-40.00,31.00,67757.00,92043335.20
14/02/2018,1320.00,1345.00,1345.00,1345.00,1345.00,25.00,29.00,404793.00,544403831.50
15/02/2018,1345.00,1345.00,1345.00,1345.00,1345.00,,30.00,289043.00,389462971.10
16/02/2018,1345.00,1400.00,1400.00,1400.00,1400.00,55.00,52.00,118415.00,163455502.80
19/02/2018,1400.00,1341.00,1341.80,1341.80,1341.80,-58.20,34.00,41179.00,56054087.20
20/02/2018,1341.80,1315.50,1380.00,1316.10,1380.00,38.20,46.00,251908.00,346455934.50
21/02/2018,1380.00,1399.90,1409.80,1370.00,1370.00,-10.00,51.00,169311.00,234916008.30
22/02/2018,1370.00,1378.00,1378.00,1378.00,1378.00,8.00,28.00,40037.00,55227177.70
23/02/2018,1378.00,1378.00,1378.00,1378.00,1378.00,,30.00,45134.00,61952346.90
26/02/2018,1378.00,1378.00,1378.00,1378.00,1378.00,,39.00,169868.00,233991152.80
27/02/2018,1378.00,1400.00,1411.00,1380.00,1400.00,22.00,82.00,2069079.00,2880379809.00
28/02/2018,1400.00,1400.00,1470.00,1380.00,1442.00,42.00,85.00,1620063.00,2265415442.40
01/03/2018,1442.00,1442.00,1442.00,1442.00,1442.00,,42.00,52329.00,72023885.70
02/03/2018,1442.00,1400.00,1400.00,1399.20,1400.00,-42.00,62.00,998049.00,1397178725.80
05/03/2018,1400.00,1400.00,1400.00,1400.00,1400.00,,31.00,14928.00,21209621.60
06/03/2018,1400.00,1399.90,1400.00,1380.00,1380.00,-20.00,91.00,536014.00,741967209.80
07/03/2018,1380.00,1380.00,1380.00,1375.00,1375.00,-5.00,69.00,87128.00,120103045.50
08/03/2018,1375.00,1375.00,1375.00,1375.00,1375.00,,33.00,64823.00,89051442.00
09/03/2018,1375.00,1380.00,1381.00,1380.00,1381.00,6.00,35.00,70509.00,97255936.00
12/03/2018,1381.00,1380.00,1380.00,1380.00,1380.00,-1.00,91.00,345399.00,475282705.80
13/03/2018,1380.00,1317.00,1400.00,1317.00,1400.00,20.00,68.00,207046.00,277736681.70
14/03/2018,1400.00,1365.00,1380.00,1365.00,1380.00,-20.00,46.00,295000.00,404921034.50
15/03/2018,1380.00,1365.00,1395.00,1365.00,1395.00,15.00,49.00,281802.00,388283243.80
16/03/2018,1395.00,1360.00,1380.00,1360.00,1380.00,-15.00,46.00,98234.00,134897460.60
19/03/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,47.00,88321.00,121793861.70
20/03/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,60.00,110935.00,154117113.80
21/03/2018,1380.00,1350.00,1350.00,1350.00,1350.00,-30.00,40.00,85902.00,116202846.20
22/03/2018,1350.00,1379.90,1379.90,1379.90,1350.00,,32.00,59348.00,80205852.60
23/03/2018,1350.00,1321.00,1321.00,1317.00,1317.00,-33.00,51.00,135175.00,178020444.80
26/03/2018,1317.00,1350.00,1320.00,1320.00,1320.00,3.00,43.00,414825.00,548310992.60
27/03/2018,1320.00,1339.00,1339.00,1339.00,1339.00,19.00,33.00,35215.00,47069065.10
28/03/2018,1339.00,1340.30,1340.30,1340.30,1340.30,1.30,22.00,51657.00,69236082.80
29/03/2018,1340.30,1380.00,1380.00,1380.00,1380.00,39.70,44.00,84767.00,116283294.30
03/04/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,39.00,466277.00,642696366.10
04/04/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,59.00,1054097.00,1454501724.60
05/04/2018,1380.00,1380.00,1380.00,1380.00,1380.00,,30.00,391346.00,539997060.40
06/04/2018,1380.00,1380.00,1385.00,1380.00,1385.00,5.00,31.00,211042.00,291437158.40
09/04/2018,1385.00,1385.00,1385.00,1385.00,1385.00,,25.00,32082.00,44426868.20
10/04/2018,1385.00,1385.00,1385.00,1385.00,1385.00,,19.00,9640.00,13336779.00
11/04/2018,1385.00,1385.00,1385.00,1385.00,1385.00,,44.00,24105.00,33723021.40
12/04/2018,1385.00,1385.00,1385.00,1385.00,1385.00,,46.00,19249.00,26926778.70
13/04/2018,1385.00,1385.00,1385.00,1385.00,1385.00,,26.00,7826.00,10969588.60
16/04/2018,1385.00,1410.00,1410.00,1410.00,1410.00,25.00,23.00,26729.00,37686545.60
17/04/2018,1410.00,1410.00,1422.50,1410.00,1422.50,12.50,22.00,59161.00,83998842.30
18/04/2018,1422.50,1422.50,1422.50,1422.50,1422.50,,9.00,446.00,639782.60
19/04/2018,1422.50,1422.50,1422.50,1422.50,1422.50,,19.00,5680.00,8450435.00
20/04/2018,1422.50,1422.50,1422.50,1422.50,1422.50,,16.00,14960.00,21948387.20
